DATE,ARA,ARG,ARI,ASB,ATI,AVI,BEN,BPE,BWK,COL,CYD,EDG,GLN,GOR,HLY,HRP,HWA,HWB,JRD,KAW,KIN,KOE,KPA,KPO,LTN,MAN,MAT,MHO,MKE,MTI,NAP,NMA,NSY,OHA,OHB,OHC,OHK,OKI,PPI,ROT,ROX,RPO,SFD,STK,TAB,TGA,THI,TKA,TKB,TKU,TUI,TWC,TWH,WDV,WHI,WIL,WKM,WPA,WPG,WRK,WTK,WVY,WWD
2024-07-01 00:00:00,8.21,0.0,1.551,9.598,0.0,26.043,34.902,7.914000000000001,8.265,13.952,7.112,0.0,40.569,8.836,231.109,51.427,25.21,0.0,3.697,72.612,14.79,28.89,3.226,21.54,70.047,162.848,6.140000000000001,1.623,0.0,0.58,116.81700000000001,20.715,2.2880000000000003,48.499,41.993,42.644,0.0,18.59,19.453,3.0420000000000003,53.071000000000005,32.181,104.622,5.269,78.81700000000001,0.049,75.94500000000001,6.432,38.843,38.936,39.093,29.922,4.018,26.854,0.0,27.715,41.271,3.23,15.836,89.233,21.112,31.604,48.583
2024-07-01 00:30:00,8.48,0.0,0.0,9.593,0.0,20.738,11.019,7.536,1.004,12.34,3.764,0.0,40.923,5.9590000000000005,202.748,63.6,26.063000000000002,0.0,0.0,72.514,14.355,28.675,3.277,20.99,74.326,166.924,6.144,1.942,0.0,0.0,116.77700000000002,18.187,2.299,53.257,32.156,32.089,0.0,18.296,19.453,3.0460000000000003,53.812,32.183,82.599,1.012,78.874,0.049,76.011,7.007000000000001,39.134,47.388,44.657,31.121,6.44,28.856,0.0,27.649,40.781,0.0,16.893,89.313,20.611,49.237,48.533
2024-07-01 01:00:00,8.4,0.0,0.0,9.578,0.0,21.44,35.427,8.054,0.15,13.993,3.904,0.0,40.821,2.169,198.897,62.017,24.576999999999998,0.0,0.0,72.70700000000001,14.175,28.537,3.3040000000000003,20.95,66.489,165.543,6.148,2.115,0.0,0.0,116.757,19.974,2.2840000000000003,29.244,22.069,22.143,0.0,18.387,19.449,3.04,53.159000000000006,32.18,70.543,1.914,78.815,0.049,75.903,7.09,39.189,47.167,42.001,29.8,11.584,26.636,0.0,25.283,40.669,0.0,15.833,89.295,19.434,48.073,48.508
2024-07-01 01:30:00,8.32,0.0,0.0,9.581,0.0,19.902,42.505,7.031000000000001,0.035,13.976,4.04,0.0,40.855,0.059,212.532,56.909,24.417,0.0,0.0,72.798,14.099,28.299,3.266,20.85,55.441,164.32,6.146,2.252,0.0,0.0,116.72399999999999,21.398,2.293,25.017,22.613,22.237,0.0,18.427,19.444,3.0340000000000003,52.992000000000004,32.177,70.237,2.616,78.866,0.047,76.06,6.5600000000000005,39.163,23.939,39.656,23.723,9.439,26.114,0.0,25.883,40.901,0.0,14.814,89.152,18.53,49.364,48.514
2024-07-01 02:00:00,8.36,0.0,0.0,9.458,0.0,21.881,35.273,5.3,2.101,13.997,4.118,0.0,41.242,3.322,216.678,49.13,24.471,0.0,0.0,72.943,13.612,28.245,3.242,20.87,57.527,164.793,6.149,2.24,0.0,0.0,116.749,21.71,2.294,24.733,23.165,23.48,0.0,18.478,19.443,3.0380000000000003,52.971,32.18,70.245,5.721,78.803,0.045,76.114,6.694,39.191,0.764,40.183,20.232,10.225,23.708,0.0,26.319,40.868,0.0,14.778,89.134,18.276,45.223,48.508
2024-07-01 02:30:00,8.370000000000001,0.0,0.0,9.449,0.0,17.438,33.561,7.456,4.367,10.117,4.191,0.0,40.928,5.509,212.221,59.339,24.366999999999997,0.0,0.0,72.90700000000001,13.618,28.114,3.258,20.85,48.357,165.171,6.146,2.362,0.0,0.0,116.75,13.465,2.293,23.58,21.633,21.392,0.0,18.493,19.445,3.045,53.406000000000006,32.184,70.276,1.762,78.864,0.044,76.131,6.705,39.144,0.0,39.535,24.611,14.663,23.938,0.0,28.27,40.823,0.0,9.429,89.05799999999999,18.347,47.782,48.519
2024-07-01 03:00:00,8.3,0.0,0.225,9.443,0.0,21.684,36.492,6.5120000000000005,4.99,14.256,4.19,0.0,40.512,5.466,201.193,61.939,24.216,0.0,0.0,72.90299999999999,14.096,28.193,3.257,20.83,40.729,163.78900000000002,5.878,2.26,0.0,0.0,116.74000000000001,6.896,2.294,24.727,22.295,22.136,0.0,18.528,19.442,3.031,52.735,32.176,70.278,5.421,78.805,0.042,76.135,6.678,39.166,0.0,40.69,24.045,15.914,25.786,0.0,25.779,40.665,0.0,6.722,88.976,18.149,47.209,48.513
2024-07-01 03:30:00,8.38,0.0,0.0,9.447,0.0,21.861,42.282,6.325,1.426,13.846,4.207,0.0,40.859,5.14,198.553,53.43,24.436999999999998,0.0,0.0,72.89699999999999,14.133,28.232,3.264,20.83,46.584999999999994,165.288,7.251,2.27,0.0,0.0,116.729,5.668,2.287,24.522,21.988,21.838,0.0,18.475,19.439,3.039,53.355000000000004,32.178,70.268,3.465,78.868,0.04,76.081,6.789,39.144,0.0,41.889,23.29,15.181,26.166,0.0,26.722,40.771,0.0,4.367,88.908,18.368,47.905,48.517
2024-07-01 04:00:00,8.24,0.0,0.0,9.439,0.0,21.718,36.762,5.769,5.782,14.065,4.154,0.0,40.72,9.095,198.221,64.601,24.195,0.0,0.0,72.911,13.984,28.221,3.248,20.7,60.151,163.147,7.297,2.078,0.0,0.0,116.72200000000001,9.971,2.287,25.179,22.495,22.398,0.0,18.395,19.433,3.03,53.02,32.179,70.276,4.298,78.819,0.04,76.063,6.771,39.143,0.0,38.404,22.254,15.404,26.709,0.0,28.062,40.559,0.0,9.942,88.891,18.099,39.115,48.502
2024-07-01 04:30:00,8.43,0.0,0.0,9.445,0.0,23.102,42.393,10.06,0.885,14.012,4.088,0.0,40.51,5.6080000000000005,214.129,61.434000000000005,24.448,0.0,0.0,72.889,13.244,28.383,3.235,20.86,75.013,165.935,6.987,1.741,0.0,0.0,116.751,7.326,2.308,26.198,23.054,22.99,0.0,18.327,19.432,3.036,53.231,32.178,70.292,2.366,78.862,2.362,76.035,6.844,39.191,0.0,44.356,32.77,16.499,31.547,0.0,28.638,40.426,0.0,6.348,88.917,18.434,37.665,48.506
